id_student,code_module,code_presentation,gender_num,imd_band_num,education_num,age_num,disability_num,num_of_prev_attempts,studied_credits,early_registration,reg_days_before,unregistered,total_clicks,active_days,avg_clicks_day,max_clicks_day,n_resources,click_density,avg_score,min_score,std_score,avg_tma_score,n_submitted,n_late,avg_submit_delay,risk_level,risk_label,final_result
11391,AAA,2013J,1,10.0,3,2,0,0,240,1,159.0,0,934.0,40.0,4.76530612244898,76.0,55.0,23.35,82.0,78.0,3.082207001484488,82.0,5.0,0.0,-1.8,0,Low,Pass
28400,AAA,2013J,0,3.0,3,1,0,0,60,1,53.0,0,1435.0,80.0,3.3372093023255816,23.0,84.0,17.9375,66.4,60.0,4.335896677735761,66.4,5.0,2.0,0.0,1,Medium,Pass
30268,AAA,2013J,0,4.0,2,1,1,0,60,1,92.0,1,281.0,12.0,3.6973684210526314,23.0,22.0,23.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Very High,Withdrawn
31604,AAA,2013J,0,6.0,2,1,0,0,60,1,52.0,0,2158.0,123.0,3.2549019607843137,22.0,82.0,17.54471544715447,76.0,71.0,6.8920243760451125,76.0,5.0,0.0,-2.0,0,Low,Pass
32885,AAA,2013J,0,6.0,1,0,0,0,60,1,176.0,0,1034.0,70.0,2.9375,22.0,66.0,14.771428571428572,54.4,30.0,20.513410247932935,54.4,5.0,5.0,11.4,2,High,Pass
38053,AAA,2013J,1,9.0,2,1,0,0,60,1,110.0,0,2445.0,143.0,3.3817427385892116,22.0,88.0,17.097902097902097,68.0,50.0,10.977249200050075,68.0,5.0,1.0,2.0,1,Medium,Pass
45462,AAA,2013J,1,4.0,3,0,0,0,60,1,67.0,0,1492.0,90.0,4.20281690140845,48.0,59.0,16.57777777777778,68.0,62.0,4.949747468305833,68.0,5.0,2.0,0.4,1,Medium,Pass
45642,AAA,2013J,0,10.0,2,0,0,0,120,1,29.0,0,1428.0,105.0,2.689265536723164,46.0,66.0,13.6,72.4,72.0,0.5477225575051652,72.4,5.0,2.0,2.6,1,Medium,Pass
52130,AAA,2013J,0,8.0,2,0,0,0,90,1,33.0,0,1894.0,122.0,3.193929173693086,34.0,76.0,15.524590163934427,71.4,68.0,2.6076809620810586,71.4,5.0,1.0,1.4,0,Low,Pass
53025,AAA,2013J,1,,4,2,0,0,60,1,179.0,0,3158.0,142.0,3.493362831858407,38.0,80.0,22.239436619718308,78.0,71.0,4.062019202317981,78.0,5.0,0.0,-4.6,0,Low,Pass
57506,AAA,2013J,1,8.0,1,1,0,0,60,1,103.0,0,1319.0,90.0,3.272952853598015,34.0,76.0,14.655555555555555,74.0,68.0,5.656854249492381,74.0,5.0,0.0,-0.8,0,Low,Pass
